backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block
600M,chip_053_176_merged.tif,0.2,3,567620953,50,40.7068,42.8509,2.1441
600M,chip_053_176_merged.tif,0.2,4,187014322,50,39.199,43.9947,4.7957
600M,chip_053_176_merged.tif,0.4,0,1648164400,100,41.5191,43.4558,1.9367
600M,chip_053_176_merged.tif,0.4,1,1267557769,100,41.087,43.298,2.211
600M,chip_053_176_merged.tif,0.4,2,886951138,100,40.341,42.4954,2.1544
600M,chip_053_176_merged.tif,0.4,3,407005620,100,41.6015,43.6723,2.0708
600M,chip_053_176_merged.tif,0.4,4,26398989,100,40.8218,42.804,1.9822
600M,chip_053_176_merged.tif,0.6,0,904866193,154,39.399,42.5381,3.1391
600M,chip_053_176_merged.tif,0.6,1,524259562,154,41.1905,42.0353,0.8448
600M,chip_053_176_merged.tif,0.6,2,143652931,154,39.8526,40.7326,0.88
600M,chip_053_176_merged.tif,0.6,3,1811191061,154,39.4011,43.0531,3.652
600M,chip_053_176_merged.tif,0.6,4,1430584430,154,41.6413,43.2391,1.5978
600M,chip_053_176_merged.tif,0.8,0,521612884,208,37.6226,41.213,3.5904
600M,chip_053_176_merged.tif,0.8,1,41667366,208,36.3316,40.1565,3.8249
600M,chip_053_176_merged.tif,0.8,2,1808544383,208,36.3317,40.877,4.5453
600M,chip_053_176_merged.tif,0.8,3,1328598865,208,37.6226,38.4257,0.8031
600M,chip_053_176_merged.tif,0.8,4,947992234,208,37.6224,41.13,3.5076
600M,chip_054_264_merged.tif,0.2,0,547178488,50,38.2379,38.9254,0.6875
600M,chip_054_264_merged.tif,0.2,1,67232970,50,37.5435,39.9349,2.3913
600M,chip_054_264_merged.tif,0.2,2,1834109987,50,33.9907,39.6292,5.6385
600M,chip_054_264_merged.tif,0.2,3,1354164469,50,40.4517,39.6888,-0.7629
600M,chip_054_264_merged.tif,0.2,4,973557838,50,36.3536,38.8746,2.521
600M,chip_054_264_merged.tif,0.4,0,287224268,100,35.7068,39.5309,3.8241
600M,chip_054_264_merged.tif,0.4,1,2054101285,100,38.715,39.1045,0.3895
600M,chip_054_264_merged.tif,0.4,2,1673494654,100,37.4565,39.0672,1.6107
600M,chip_054_264_merged.tif,0.4,3,1193549136,100,37.1529,39.805,2.6521
600M,chip_054_264_merged.tif,0.4,4,812942505,100,39.189,39.1951,0.006
600M,chip_054_264_merged.tif,0.6,0,1691409709,154,32.6776,38.842,6.1644
600M,chip_054_264_merged.tif,0.6,1,1310803078,154,37.1559,38.7026,1.5467
600M,chip_054_264_merged.tif,0.6,2,930196447,154,36.9754,38.301,1.3257
600M,chip_054_264_merged.tif,0.6,3,450250929,154,34.6151,38.6655,4.0504
600M,chip_054_264_merged.tif,0.6,4,69644298,154,36.478,38.2649,1.7868
600M,chip_054_264_merged.tif,0.8,0,1308156400,208,34.2225,36.2156,1.9932
600M,chip_054_264_merged.tif,0.8,1,828210882,208,34.2217,37.3938,3.1722
600M,chip_054_264_merged.tif,0.8,2,447604251,208,34.222,37.4889,3.2669
