backbone,chip,mask_ratio,trial,trial_seed,block_h_patches,block_w_patches,block_area_frac,global_mae,global_psnr,global_ssim,block_mae,block_psnr,block_ssim
300M,chip_138_474_merged.tif,0.2,2,1363935428,3,13,0.199,0.005189,38.0359,0.958,0.017979,32.2605,0.8547
300M,chip_138_474_merged.tif,0.2,3,983328797,3,13,0.199,0.005213,37.9794,0.9575,0.01952,32.0062,0.8358
300M,chip_138_474_merged.tif,0.2,4,503383279,3,13,0.199,0.005225,38.1339,0.9564,0.018736,32.3807,0.8289
300M,chip_138_474_merged.tif,0.4,0,1258551394,6,13,0.398,0.010544,34.8483,0.904,0.019624,32.0669,0.8271
300M,chip_138_474_merged.tif,0.4,1,778605876,6,13,0.398,0.013698,33.0172,0.8857,0.02557,30.149,0.7865
300M,chip_138_474_merged.tif,0.4,2,397999245,6,13,0.398,0.012536,33.5733,0.889,0.022086,30.7762,0.8027
300M,chip_138_474_merged.tif,0.4,3,2065537375,6,13,0.398,0.011067,34.02,0.9004,0.020991,31.0253,0.8053
300M,chip_138_474_merged.tif,0.4,4,1684930744,6,13,0.398,0.013164,33.2761,0.8889,0.023219,30.588,0.81
300M,chip_138_474_merged.tif,0.6,0,26029252,9,13,0.5969,0.019917,31.2178,0.8233,0.025532,30.0397,0.7807
300M,chip_138_474_merged.tif,0.6,1,1693567382,9,13,0.5969,0.018503,31.3253,0.8251,0.025092,29.8601,0.7682
300M,chip_138_474_merged.tif,0.6,2,1312960751,9,13,0.5969,0.021801,30.5529,0.8108,0.029317,29.1345,0.752
300M,chip_138_474_merged.tif,0.6,3,833015233,9,13,0.5969,0.018066,31.5612,0.8321,0.024657,30.0217,0.7734
300M,chip_138_474_merged.tif,0.6,4,452408602,9,13,0.5969,0.019758,31.0736,0.8179,0.024463,30.1914,0.7754
300M,chip_138_474_merged.tif,0.8,0,32660991,12,13,0.7959,0.029105,28.5659,0.709,0.031234,28.4164,0.6926
300M,chip_138_474_merged.tif,0.8,1,1700199121,12,13,0.7959,0.029698,28.5819,0.7063,0.030921,28.4929,0.6932
300M,chip_138_474_merged.tif,0.8,2,1319592490,12,13,0.7959,0.027955,28.7877,0.7278,0.030693,28.3569,0.7044
300M,chip_138_474_merged.tif,0.8,3,938985859,12,13,0.7959,0.027394,29.2165,0.7298,0.029566,28.8923,0.7109
300M,chip_138_474_merged.tif,0.8,4,459040341,12,13,0.7959,0.030498,28.5461,0.7064,0.031426,28.4719,0.6966
300M,chip_142_497_merged.tif,0.2,0,1705240615,3,13,0.199,0.002702,42.6828,0.9813,0.008889,37.0356,0.9404
300M,chip_142_497_merged.tif,0.2,1,1324633984,3,13,0.199,0.002838,42.6785,0.9825,0.008707,38.1734,0.9483
300M,chip_142_497_merged.tif,0.2,2,844688466,3,13,0.199,0.002563,43.9195,0.9835,0.008363,38.8474,0.9496
300M,chip_142_497_merged.tif,0.2,3,464081835,3,13,0.199,0.002451,44.3591,0.9839,0.008236,39.0588,0.9488
300M,chip_142_497_merged.tif,0.2,4,83475204,3,13,0.199,0.002781,42.9483,0.9809,0.009753,37.3636,0.9368
300M,chip_142_497_merged.tif,0.4,0,739304432,6,13,0.398,0.006002,37.7104,0.9528,0.011368,34.3355,0.9067
300M,chip_142_497_merged.tif,0.4,1,259358914,6,13,0.398,0.006218,38.065,0.9519,0.011199,35.064,0.9107
300M,chip_142_497_merged.tif,0.4,2,2026235931,6,13,0.398,0.005827,38.0328,0.9518,0.011315,34.8235,0.905
