backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block,block_rmse,random_rmse
tiny,chip_036_147_merged.tif,0.2,4,1578112423,39,35.0055,37.1611,2.1557,0.017771537405629253,0.013865802182105274
tiny,chip_036_147_merged.tif,0.4,0,991117740,78,35.3754,37.1768,1.8014,0.01703060201045331,0.013840761975691727
tiny,chip_036_147_merged.tif,0.4,1,511172222,78,35.3342,36.9129,1.5787,0.017111575585884695,0.014267733868990062
tiny,chip_036_147_merged.tif,0.4,2,130565591,78,35.7316,36.7423,1.0107,0.016346320130503755,0.014550737299901357
tiny,chip_036_147_merged.tif,0.4,3,1798103721,78,30.1966,36.8868,6.6902,0.030915053328928157,0.014310671083201401
tiny,chip_036_147_merged.tif,0.4,4,1417497090,78,35.0213,35.9762,0.9549,0.01773923961314253,0.015892418758146412
tiny,chip_036_147_merged.tif,0.6,0,1001419509,117,35.2262,36.4304,1.2042,0.01732566847662173,0.01508273150395668
tiny,chip_036_147_merged.tif,0.6,1,620812878,117,35.8125,36.9462,1.1337,0.016194778036355394,0.01421313889134309
tiny,chip_036_147_merged.tif,0.6,2,240206247,117,35.3164,37.065,1.7487,0.01714667830600176,0.01402006412460503
tiny,chip_036_147_merged.tif,0.6,3,1907744377,117,35.6053,37.4173,1.812,0.016585745612087355,0.013462787784144215
tiny,chip_036_147_merged.tif,0.6,4,1527137746,117,35.7803,35.9237,0.1434,0.0162549261225506,0.01598876796802603
tiny,chip_036_147_merged.tif,0.8,0,1912710985,156,35.4516,36.3935,0.9419,0.016881848557004888,0.015146943310085176
tiny,chip_036_147_merged.tif,0.8,1,1432765467,156,35.8869,34.5609,-1.326,0.016056652188693447,0.018704883171911414
tiny,chip_036_147_merged.tif,0.8,2,1052158836,156,33.1509,36.3457,3.1948,0.0220016372493735,0.015230529424613715
tiny,chip_036_147_merged.tif,0.8,3,671552205,156,35.6601,36.4838,0.8236,0.0164814341646397,0.014990288801303568
tiny,chip_036_147_merged.tif,0.8,4,191606687,156,35.6417,35.525,-0.1167,0.016516385083452344,0.016739789788604718
tiny,chip_037_102_merged.tif,0.2,0,398483738,39,35.791,37.6486,1.8576,0.016234914283644684,0.01310901317667113
tiny,chip_037_102_merged.tif,0.2,1,17877107,39,32.4298,37.8237,5.394,0.023906169807011237,0.012847392723873561
tiny,chip_037_102_merged.tif,0.2,2,1685415237,39,36.5584,38.3977,1.8393,0.014862093869597753,0.012025828331300567
tiny,chip_037_102_merged.tif,0.2,3,1304808606,39,35.7929,37.8293,2.0365,0.016231363356230197,0.0128391123732385
tiny,chip_037_102_merged.tif,0.2,4,824863088,39,35.1827,38.4452,3.2625,0.017412655186326544,0.011960242905293614
tiny,chip_037_102_merged.tif,0.4,0,237868405,78,32.1302,36.2174,4.0872,0.02474514482876214,0.015457170591531838
tiny,chip_037_102_merged.tif,0.4,1,1905406535,78,34.1651,37.6047,3.4396,0.019576948574326656,0.013175436129086133
tiny,chip_037_102_merged.tif,0.4,2,1524799904,78,31.4804,36.2402,4.7598,0.02666735853969198,0.015416649543934445
tiny,chip_037_102_merged.tif,0.4,3,1044854386,78,35.2831,38.1687,2.8857,0.017212541485556447,0.0123471009797158
tiny,chip_037_102_merged.tif,0.4,4,664247755,78,31.2629,37.8807,6.6178,0.027343556413390358,0.01276335944142291
tiny,chip_037_102_merged.tif,0.6,0,1642053846,117,32.3888,37.4873,5.0985,0.024019280835921343,0.013354726553704649
tiny,chip_037_102_merged.tif,0.6,1,1162108328,117,34.6326,34.8948,0.2622,0.018551114245657974,0.017999481714301564
tiny,chip_037_102_merged.tif,0.6,2,781501697,117,33.3278,37.2434,3.9155,0.021558076067717254,0.013735042260107742
tiny,chip_037_102_merged.tif,0.6,3,301556179,117,34.6851,36.9949,2.3099,0.018439324193820956,0.014133671725736143
tiny,chip_037_102_merged.tif,0.6,4,2068433196,117,34.0175,38.0628,4.0453,0.019912463832953576,0.012498560592797005
tiny,chip_037_102_merged.tif,0.8,0,1159461650,156,32.5466,35.743,3.1964,0.023586852977932032,0.01632488009128019
tiny,chip_037_102_merged.tif,0.8,1,778855019,156,32.2409,36.5903,4.3493,0.02443177386505785,0.014807611107073827
