chip_idx,backbone,mask_ratio,mae,psnr,ssim,masked_mae,masked_psnr,masked_ssim,time_sec
28,tiny,0.8,0.024752,26.7796,0.786169,0.031099,25.7883,0.708411,0.19
28,tiny,0.9,0.036012,24.3894,0.666451,0.039433,23.9954,0.617625,0.19
29,tiny,0.1,0.00098,46.006,0.99282,0.009602,36.0937,0.929504,0.06
29,tiny,0.2,0.002503,40.7132,0.980284,0.01141,34.1253,0.900375,0.08
29,tiny,0.3,0.003141,40.6344,0.975487,0.010094,35.5652,0.911947,0.09
29,tiny,0.4,0.004638,37.7622,0.959144,0.011807,33.7045,0.88427,0.11
29,tiny,0.5,0.006331,35.854,0.946623,0.013489,32.5693,0.874884,0.12
29,tiny,0.6,0.009477,33.0152,0.91717,0.016013,30.7372,0.840866,0.14
29,tiny,0.7,0.010697,32.8291,0.901954,0.01553,31.2099,0.84265,0.16
29,tiny,0.8,0.016354,29.6168,0.845936,0.021806,28.3674,0.776126,0.17
29,tiny,0.9,0.021512,28.6782,0.79971,0.023424,28.3083,0.770314,0.2
30,tiny,0.1,0.001258,44.295,0.991961,0.014505,33.677,0.902642,0.06
30,tiny,0.2,0.0022,41.975,0.984083,0.012682,34.3672,0.905141,0.07
30,tiny,0.3,0.004509,37.6985,0.96507,0.01473,32.5574,0.870491,0.1
30,tiny,0.4,0.00601,35.9796,0.953612,0.017323,31.3822,0.849982,0.1
30,tiny,0.5,0.009178,34.1567,0.925513,0.017465,31.3625,0.843971,0.13
30,tiny,0.6,0.012244,32.2055,0.900576,0.01951,30.182,0.826561,0.15
30,tiny,0.7,0.017099,30.3419,0.850833,0.023768,28.9115,0.775069,0.17
30,tiny,0.8,0.025366,27.4727,0.780635,0.033146,26.3111,0.694699,0.17
30,tiny,0.9,0.032152,26.4337,0.696921,0.03707,25.8157,0.639202,0.19
31,tiny,0.1,0.001287,44.9169,0.990111,0.011469,35.4186,0.906317,0.06
31,tiny,0.2,0.002538,42.0034,0.979618,0.011306,35.5154,0.905828,0.08
31,tiny,0.3,0.003148,39.548,0.973608,0.010639,34.2597,0.908322,0.11
31,tiny,0.4,0.00518,37.478,0.949796,0.012535,33.6403,0.866799,0.11
31,tiny,0.5,0.006372,36.323,0.939023,0.013009,33.2232,0.860585,0.12
31,tiny,0.6,0.009311,34.4817,0.911196,0.014258,32.6312,0.853452,0.15
31,tiny,0.7,0.011255,33.0922,0.889056,0.016463,31.4407,0.825124,0.16
31,tiny,0.8,0.014277,32.3694,0.84623,0.01771,31.4334,0.792571,0.18
31,tiny,0.9,0.022945,28.9519,0.755979,0.0263,28.3593,0.708563,0.19
32,tiny,0.1,0.000891,45.5183,0.992812,0.010278,34.9002,0.916021,0.06
32,tiny,0.2,0.002157,41.3822,0.979991,0.010839,34.3703,0.88829,0.08
32,tiny,0.3,0.003502,38.7714,0.968154,0.01144,33.6303,0.886206,0.1
32,tiny,0.4,0.004674,37.4273,0.958761,0.011452,33.5357,0.889814,0.11
32,tiny,0.5,0.005961,36.4457,0.944485,0.011921,33.4354,0.878614,0.13
32,tiny,0.6,0.008431,34.1663,0.921826,0.013546,32.1074,0.867549,0.15
32,tiny,0.7,0.010557,32.9998,0.901875,0.014886,31.5074,0.849066,0.16
32,tiny,0.8,0.013379,31.0972,0.868043,0.01681,30.1059,0.824639,0.18
32,tiny,0.9,0.019033,28.8814,0.820846,0.02144,28.3643,0.793728,0.19
33,tiny,0.1,0.001412,42.6964,0.9892,0.016278,32.0783,0.852468,0.06
33,tiny,0.2,0.004034,37.4643,0.965295,0.017968,30.9762,0.822353,0.08
33,tiny,0.3,0.005366,36.5233,0.957568,0.017241,31.4541,0.841949,0.1
33,tiny,0.4,0.007359,35.1026,0.939722,0.017589,31.3182,0.836491,0.11
33,tiny,0.5,0.009906,33.0103,0.915222,0.021572,29.6301,0.797568,0.12
33,tiny,0.6,0.015244,30.5576,0.860276,0.024899,28.4268,0.755117,0.15
33,tiny,0.7,0.017339,29.7046,0.837161,0.02676,27.8201,0.723878,0.15
33,tiny,0.8,0.02745,27.2699,0.747363,0.033211,26.4424,0.674499,0.18
33,tiny,0.9,0.040432,24.7202,0.634589,0.044026,24.3503,0.596744,0.2
34,tiny,0.1,0.00155,43.6721,0.988801,0.01266,34.5516,0.902788,0.1
34,tiny,0.2,0.002886,39.2513,0.980437,0.015288,32.0108,0.88592,0.08
34,tiny,0.3,0.003702,38.5084,0.973332,0.014809,32.4878,0.887349,0.09
34,tiny,0.4,0.006525,35.8666,0.949656,0.014871,32.289,0.873503,0.12
34,tiny,0.5,0.008667,33.6109,0.927282,0.017695,30.511,0.834871,0.12
34,tiny,0.6,0.012522,31.1095,0.89792,0.019794,29.1212,0.823744,0.17
