tile,mask_type,ratio,trial,cubic_mae,cubic_rmse,cubic_psnr,cubic_mae_tailexcl,cubic_rmse_tailexcl,cubic_psnr_tailexcl,linear_mae_forcompare,linear_rmse_forcompare
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,26,0.017424146556157268,0.13303298364562477,17.52081337022997,0.0004928680382863137,0.0014019927255161171,57.06508479552422,0.00759809762678034,0.039447572845315755
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,27,0.0010057155815697456,0.0026656121365250347,51.484060858543465,0.0009647705263463971,0.002621035182618124,51.63054298805495,0.0021017776776894666,0.005556676426842583
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,28,0.019992876602325533,0.19409989085940588,14.239494176227705,0.00037278353815819516,0.0007142652081210599,62.92281007714054,0.0027236494725227803,0.015347239535561257
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,29,0.02822667392687686,0.2538343532591998,11.908992040312295,0.0003741917183401205,0.0013350585711724605,57.48999361364346,0.005383383077397782,0.036362150206387
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,30,0.5651860866705885,3.5933087505772687,-11.109890700403183,0.00046043143116897777,0.0008537469242447576,61.37341695841169,0.03303347000534838,0.24371238016306265
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,31,0.03708582624441348,0.35294667720596706,9.045818047736304,0.0006959712742058812,0.0016651770464290666,55.57079168520198,0.00280411286233846,0.015350186713529263
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,32,0.0013290739274903652,0.008635926042883246,41.27382171143709,0.0005073633176312706,0.0009126448463799536,60.79396388556452,0.0030174791947567077,0.015409549772315838
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,33,0.006970733762621474,0.03450550503220671,29.24223223512317,0.0012407513063620622,0.0038497507597034736,48.29134773289142,0.007982710962469886,0.0393337382008014
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,34,0.0008069333151222547,0.0021620891897772615,53.302527892860816,0.0008069333151222547,0.002162089189777261,53.302527892860816,0.0010605471212340734,0.0024135840047414645
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,35,0.0007022836362789806,0.0016420339593823283,55.692357307061826,0.0007022836362789805,0.0016420339593823283,55.692357307061826,0.0015759439230009554,0.004038040622256026
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,36,0.005133641588334315,0.033888000095744775,29.399081206911678,0.0006258230660253308,0.0016433635091820601,55.685327214922474,0.005736202307023153,0.036179851688417204
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,37,0.0008095848984269853,0.0026243381424483495,51.61960414859464,0.0008095848984269855,0.002624338142448349,51.61960414859464,0.001243161333798263,0.003309737293515409
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,38,0.036257370540675876,0.3527943635656334,9.049567240186285,0.0006877965851083969,0.0020800420296377526,53.6385577905973,0.00186165309888308,0.004886176372968692
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,39,0.018602023070027205,0.18088476566330672,14.851960168272523,0.000364892724365916,0.0008628286992335149,61.28150835828225,0.0010943535881797544,0.0023145325966774234
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,40,0.0009214776914774688,0.0026904709689095827,51.40343379552681,0.0009214776914774689,0.0026904709689095827,51.40343379552681,0.001238153793151822,0.003158978645666994
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,41,0.005733940204892251,0.0313564617282735,30.07345898262261,0.002542606540177278,0.015755042971136522,36.05160815941306,0.007902234007709539,0.03976949864897423
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,42,0.006020064293998606,0.031023430925649725,30.166203492355393,0.0004260578727102519,0.0010198522934823859,59.829254462225265,0.00688543757017394,0.03336331715782398
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,43,0.002523501651545457,0.015608108770741305,36.13299434130185,0.002523501651545458,0.015608108770741307,36.13299434130185,0.0032868831316246743,0.016674730153717492
