tile,mask_type,ratio,trial,mae,rmse,psnr,mae_tailexcl,rmse_tailexcl,psnr_tailexcl,o2a_mae,o2a_n_masked,tail_mae,tail_n_masked,tile_radiance_min,tile_radiance_max
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,24,0.022281865958209204,0.031477655097804716,30.03995255041111,0.022281865958209204,0.031477655097804716,30.03995255041111,0.07117452795520446,7,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,25,0.018596494760202486,0.02299016030143505,32.769160011077254,0.018596494760202486,0.02299016030143505,32.769160011077254,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,26,0.0049868310966808705,0.005758317252510942,44.79408822986973,0.0049868310966808705,0.005758317252510942,44.79408822986973,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,27,0.03765955722458261,0.04262424759171452,27.406865482992117,0.03765955722458261,0.04262424759171452,27.406865482992117,0.04393247565072079,7,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,28,0.00650762245450509,0.00870346611441654,41.20615514398907,0.00650762245450509,0.00870346611441654,41.20615514398907,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,29,0.004500464327606589,0.005053925459995546,45.9274233549756,0.004500464327606589,0.005053925459995546,45.9274233549756,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,30,0.0033287186334692515,0.0038763473301059825,48.231546320814246,0.0033287186334692515,0.0038763473301059825,48.231546320814246,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,31,0.007307967109607403,0.00849932971846549,41.412306452890455,0.007307967109607403,0.00849932971846549,41.412306452890455,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,32,0.01826139862462496,0.019990153856250525,33.98367726554815,0.01826139862462496,0.019990153856250525,33.98367726554815,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,33,0.00873222925527113,0.01103615280987333,39.14364589559804,0.00873222925527113,0.01103615280987333,39.14364589559804,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,34,0.022031101204337083,0.03635586582484067,28.78851016111308,0.022031101204337083,0.03635586582484067,28.78851016111308,0.08526713320565957,7,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,35,0.022688488596381555,0.02482569162927185,32.1019728694676,0.022688488596381555,0.02482569162927185,32.1019728694676,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,36,0.03293509316720245,0.03718544837004034,28.59253955126672,0.03293509316720245,0.03718544837004034,28.59253955126672,0.050786293521407296,7,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,37,0.03412900445080478,0.03888087230425531,28.205280002140093,0.03412900445080478,0.03888087230425531,28.205280002140093,0.0492497836132823,7,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,38,0.006132671337975615,0.006675280549404465,43.51060954009816,0.006132671337975615,0.006675280549404465,43.51060954009816,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,39,0.016576564260749143,0.020845287004602694,33.619842419813736,0.016576564260749143,0.020845287004602694,33.619842419813736,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,40,0.014031605711198292,0.015247492976476354,36.33603116042607,0.014031605711198292,0.015247492976476354,36.33603116042607,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,41,0.022006901815854584,0.03350756220505014,29.49714334983391,0.022006901815854584,0.03350756220505014,29.49714334983391,0.08286295580799136,7,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,42,0.027112181757072237,0.037839452169592516,28.441103196697313,0.027112181757072237,0.037839452169592516,28.441103196697313,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,43,0.003627902840652702,0.004573067612567367,46.7958475510094,0.003627902840652702,0.004573067612567367,46.7958475510094,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,44,0.022644148071403608,0.024698970944144007,32.146422815446186,0.022644148071403608,0.024698970944144007,32.146422815446186,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,45,0.06374928966262057,0.06705085458693456,23.471913650796544,0.06491894488923543,0.06777971518228097,23.378005208947027,0.026266536667655827,1,0.03099894331740462,2,0.0017520143883302808,0.4716784954071045
